rank,Title
1,Playinâ€™ in the Band
2,Sugar Magnolia
3,China Cat Sunflower
4,Truckin'
5,The Other One
6,Jack Straw
7,Mexicali Blues
8,Tennessee Jed
9,Deal
10,Looks Like Rain
11,Bertha
12,Wharf Rat
13,Estimated Prophet
14,Eyes of the World
15,Sugaree
16,Black Peter
17,Loser
18,Brown-Eyed Women
19,Uncle John's Band
20,Cassidy
21,One More Saturday Night
22,He's Gone
23,Stella Blue
24,U.S. Blues
25,Casey Jones
26,Ramble On Rose
27,Scarlet Begonias
28,Friend of the Devil
29,Terrapin Station
30,Bird Song
31,Greatest Story Ever Told
32,Candyman
33,Row Jimmy
34,Althea
35,I Need a Miracle
36,Throwing Stones
37,Peggy-O
38,The Wheel
39,Fire on the Mountain
40,Cold Rain and Snow
41,Dark Star
42,Mississippi Half-Step Uptown Toodeloo
43,The Music Never Stopped
44,Let It Grow
45,Cumberland Blues
46,Dire Wolf
47,They Love Each Other
48,Saint of Circumstance
49,Ship of Fools
50,Franklin's Tower
